permit_number,project_name,address,zip,builder_applicant,general_contractor,permit_type,issue_date,project_value,units,verification_status,source_url_1,source_url_2,source_url_3,retrieval_timestamp,notes
TABS2025006370 (TDLR),Trinity West Villas,"3457 Normandy Brook Rd, Dallas TX 75212",75212,Builders of Hope CDC,Not confirmed in sources,New Construction — Multifamily Rental,2025-03-01 (groundbreaking Q1 2025),$7400000,31 units,VERIFIED — TDLR TABS record cited in news; groundbreaking confirmed by multiple sources,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006370,https://dallasfreepress.com/west-dallas/builders-of-hope-breaks-ground-on-affordable-west-dallas-rentals/,https://candysdirt.com/?p=370189,2026-05-15T18:50:27Z,City-funded via NSP and HOME Investment Partnerships. Affordable rental. Adjacent to 75212 West Dallas corridor.
UNKNOWN — live portal inaccessible,Revitalize West Dallas (Bickers Street phase),"3630 Bickers St (and adjacent lots), West Dallas TX 75212",75212,Builders of Hope CDC,UNKNOWN,New Construction — Single-Family Residential,Groundbreaking confirmed 2022; ongoing through 2024-2025,$5700000,20 SFD homes (17 of 20 built as of last report),VERIFIED PARTIAL — multiple news confirmations; specific individual permit numbers NOT retrieved,https://www.bohcdc.com/revitalize-west-dallas,https://candysdirt.com/2022/11/23/builders-of-hope-development-to-offer-20-affordable-homes-in-west-dallas/,,2026-05-15T18:50:27Z,Affordable homeownership. 3 remaining homes in pipeline as of last reporting.
UNKNOWN — live portal inaccessible,Lake June Estates,"Near Lake June Rd and St Augustine Dr, Dallas TX 75217",75217,Builders of Hope CDC,UNKNOWN,New Construction — Single-Family Residential,Construction set to begin Q3 2025,NOT CONFIRMED,95 SFD homes (18 acres),VERIFIED PARTIAL — project confirmed; individual permit numbers NOT retrieved,https://www.bohcdc.com/lake-june,,,2026-05-15T18:50:27Z,TARGET ZIP 75217. Mixed-income community; 3-4 BR / 1800-2100 sq ft; avg sales price $250K-$300K. Most significant confirmed infill project in 75217.
UNKNOWN — live portal inaccessible,Victoria Row (BTR townhomes),"Botham Jean Blvd and Corinth St, Dallas TX 75215/75203",75215,Larkspur Capital LP,Acadian Group,New Construction — Multifamily Rental Townhomes,Groundbreaking October 2023; ongoing through 2025,NOT PUBLICLY STATED,155 BTR townhome units (8 acres),VERIFIED — multiple news confirmations + Larkspur Capital own project page; specific permit number NOT retrieved,https://larkspurcapital.com/projects/victoria-row,https://argosyrep.com/argosy-real-estate-partners-acquires-opportunity-zone-site-for-the-development-of-the-corinth-in-dallas-tx/,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023017979,2026-05-15T18:50:27Z,TARGET ZIP 75215. The Cedars district. Qualified Opportunity Zone. DART Green Line adjacent. Delivery Q3 2025 (TDLR). Completed delivery expected January 2026 per Larkspur.
UNKNOWN — live portal inaccessible,The Dahl (mixed-income multifamily),"3500 Ash Lane, Dallas TX 75215",75215,Larkspur Capital LP,UNKNOWN,New Construction — Multifamily Residential,2023 (announced); vertical construction underway,$60000000+,292 units (108 studios / 123 1-bed / 59 2-bed),VERIFIED — CandysDirt / The Real Deal TX / REJournals / Larkspur Capital / Corgan Architects; specific permit number NOT retrieved,https://candysdirt.com/2023/08/16/larkspur-capital-to-build-mixed-income-apartment-tower-on-ash-lane-near-fair-park/,https://therealdeal.com/texas/dallas/2023/03/24/larkspur-to-start-160m-apartments-in-dallas/,https://rejournals.com/larkspur-capital-begins-vertical-construction-on-219-unit-multifamily-development-in-dallas/,2026-05-15T18:50:27Z,TARGET ZIP 75215. >50% units at ≤80% AMI; 60-year affordability commitment. Near Fair Park. Completion targeted 2025.
UNKNOWN — live portal inaccessible,Ambassador Hotel Redevelopment,"1300 S Ervay St, Dallas TX 75215",75215,OHT Partners LLC,UNKNOWN,New Construction — Multifamily Residential (adaptive reuse/brownfield),2024-2025 (construction underway),NOT PUBLICLY STATED,299 luxury units (~2.5-acre site),VERIFIED — OHT Partners press release + Multi-Housing News; specific permit number NOT retrieved,https://www.ohtpartners.com/news-and-insights/redevelopment-of-historic-ambassador-hotel-site-in-dallas-begins/,https://www.multihousingnews.com/oht-partners-begins-construction-on-dallas-property/,,2026-05-15T18:50:27Z,TARGET ZIP 75215. Southeast of downtown. Luxury multifamily. Not pure townhome infill.
UNKNOWN — live portal inaccessible,University Hills Phase 1,"I-20 and Lancaster Rd adjacent to UNT Dallas campus, Dallas TX 75241",75241,Hoque Global (master); DR Horton and Lennar (homebuilders),UNKNOWN,New Construction — Mixed-Use Master Planned (SFD + multifamily + commercial),Groundbreaking May 12 2025,$1000000000+ total; $35.9M-$50M city subsidy,"~600 SFD/townhome lots (DR Horton + Lennar); 1500 apartment units; commercial",VERIFIED — WFAA / Dallas Innovates / The Real Deal confirmed groundbreaking; specific permit numbers NOT retrieved,https://dallasinnovates.com/hoque-global-breaks-ground-on-1b-university-hills-project-in-southern-dallas/,https://therealdeal.com/texas/dallas/2025/05/07/hoque-global-to-start-southern-dallas-construction-next-week/,https://www.wfaa.com/article/news/local/dallas-county/1-billion-project-breaks-ground-southern-dallas-just-before-city-incentive-deadline/287-d1fa9409-a827-4ef5-b609-cff638355d82,2026-05-15T18:50:27Z,ADJACENT to target zone (75241 / 75232 boundary). First major production builder play in southern Dallas at scale. DR Horton and Lennar committed to lot purchases. City TIF approved ~$36M.
UNKNOWN — live portal inaccessible,Rivulet at University Hills (infrastructure phase),"NW corner of University Hills Blvd and Camp Wisdom Rd, Dallas TX 75241",75241,"RG University Hills LLC (Terrence Maiden / Russell Glen; Dan Healy / Civitas Capital; Mike Sanford / MBM Companies)",UNKNOWN,Infrastructure/horizontal + New Construction (300 SFD + 240 apartments),2025 (phasing underway),$200000000; $23.5M city infrastructure grant,300 SFD + 240 apartments,VERIFIED PARTIAL — City Council approval confirmed; specific building permits NOT yet retrieved,https://dallasexpress.com/city/council-approves-23-5-million-deal-for-south-dallas-development/,,,2026-05-15T18:50:27Z,ADJACENT to target zone (75241 / 75232 boundary). City Council approved $23.5M infrastructure grant.
UNKNOWN (commercial — partial),Commercial construction permit,"1515 E Ledbetter Dr, Dallas TX 75216",75216,UNKNOWN,UNKNOWN,Commercial construction,2025-06-02,UNKNOWN,UNKNOWN,PARTIAL — date and address confirmed via Levelset.com snippet; no further details retrievable,https://www.levelset.com/property-owners/city-of-dallas-tx/permits/,,,2026-05-15T18:50:27Z,TARGET ZIP 75216. No builder/permit number available. Noted for ZIP activity evidence only.
UNKNOWN (commercial — partial),Commercial construction permit,"2900 Municipal St, Dallas TX 75215",75215,UNKNOWN,UNKNOWN,Commercial construction,2024-12-04,UNKNOWN,UNKNOWN,PARTIAL — date and address confirmed via Levelset.com snippet; no further details retrievable,https://www.levelset.com/property-owners/city-of-dallas-tx/permits/,,,2026-05-15T18:50:27Z,TARGET ZIP 75215. No builder/permit number available. Noted for ZIP activity evidence only.
