source_name,county,source_type,website,automation_score,lead_quality_score,investor_intel_score,automation_method,automation_notes,blockers,recommended_priority
PropertyRadar – Texas,Harris County TX,Foreclosure Platform,https://www.propertyradar.com,9,9,9,API,API available for enterprise subscribers. Daily updates. Multi-county. Best-in-class data depth including unpaid balances and trustee info.,SUBSCRIPTION_WALL,HIGH
ATTOM Data – Texas Foreclosure Feed,Harris County TX,Foreclosure Platform,https://www.attomdata.com,9,9,10,API,Full deed-of-trust foreclosure feeds via API. Institutional-grade. Used by hedge funds. Daily updates. Full ownership and AVM enrichment.,SUBSCRIPTION_WALL,HIGH
Barrett Daffin Frappier Turner & Engel LLP (BDF Group),Harris County TX,Trustee Law Firm,https://www.bdfgroup.com,8,9,9,PDF_PARSE + HTTP_GET,County-specific PDFs publicly accessible without login. Monthly updates. Largest Texas trustee firm by volume. Highest-priority free automation target.,NONE,HIGH
Mackie Wolf Zientz & Mann PC,Harris County TX,Trustee Law Firm,https://www.mwzmlaw.com,8,9,8,PDF_PARSE + HTTP_GET,County-searchable public PDF downloads. No login required. Monthly updates. Second major Texas trustee firm by volume.,NONE,HIGH
Buczek Enterprises – Trustee Sale Postings,Harris County TX,Trustee Law Firm,https://www.buczekenterprises.com,8,9,8,HTTP_GET,Public postings. No login required. Multi-county Texas coverage. PDFs downloadable.,NONE,HIGH
Bid4Assets – Texas Tax Sales,Harris County TX,Tax Sale Source,https://www.bid4assets.com,8,7,7,HTTP_GET,Clean HTTP access to tax sale listings. No login required for browsing. Opening bids shown. Irregular schedule tied to county tax sale cycles.,NONE,HIGH
GovEase – Harris County Tax Sales,Harris County TX,Tax Sale Source,https://www.govease.com,8,7,7,HTTP_GET,Online government auction platform. Harris County participation requires manual verification. If active clean HTTP access expected.,UNVERIFIED_PARTICIPATION,MEDIUM
Dallas County Clerk – Deed of Trust Foreclosure Notices,Dallas County TX,Official County Source,https://www.dallascounty.org/departments/countyclerk/foreclosures.php,7,9,9,PDF_PARSE,Official Dallas County monthly foreclosure notice PDFs. Free public access. No login. Highest free data quality in Dallas County.,NONE,HIGH
LOGS.org – Legal Notice Platform Texas,Dallas County TX,Public Notice Website,https://logs.org,7,8,7,HTTP_GET + PDF_PARSE,Statewide Texas legal notice aggregator. Multi-county searchable. PDFs downloadable. Used by multiple trustee firms. Good automation candidate.,NONE,HIGH
Tarrant County Clerk – Foreclosure Notices,Tarrant County TX,Official County Source,https://www.tarrantcounty.com/en/court-records/county-clerk.html,7,9,9,PDF_PARSE,Official Tarrant County monthly foreclosure notice PDFs. Free public access. No login. Covers Fort Worth and Arlington.,NONE,HIGH
Harris County District Clerk – Official Notices,Harris County TX,Official County Source,https://www.hcdistrictclerk.com,6,8,7,PDF_PARSE,Official court records. PDFs available for some filings. Search by name or case number. Batch downloading requires scripting. Use as verification source.,NONE,MEDIUM
Harris County Appraisal District (HCAD),Harris County TX,Official County Source,https://www.hcad.org,7,6,5,HTTP_GET,Property lookup for skip-tracing and enrichment. Not a direct foreclosure source. Cross-reference addresses from notice PDFs.,NONE,MEDIUM
Dallas Central Appraisal District (DCAD),Dallas County TX,Official County Source,https://www.dallascad.org,6,5,5,HTTP_GET,Property lookup for owner and value data enrichment. Not a direct foreclosure source. Use for skip-tracing after notice extraction.,NONE,MEDIUM
Tarrant Appraisal District (TAD),Tarrant County TX,Official County Source,https://www.tad.org,6,5,5,HTTP_GET,Property lookup for Tarrant County enrichment and skip-tracing. Not a direct foreclosure source.,NONE,MEDIUM
Foreclosure.com – Harris County,Harris County TX,Foreclosure Platform,https://www.foreclosure.com,7,8,7,PLAYWRIGHT,JS-heavy site. Aggregated public notice data. Subscription required for full access. Consider PropertyRadar API instead for better automation ROI.,SUBSCRIPTION_WALL + JS_HEAVY,MEDIUM
Foreclosure.com – Dallas TX,Dallas County TX,Foreclosure Platform,https://www.foreclosure.com,7,8,7,PLAYWRIGHT,Same platform as Harris County entry. Subscription required. JS-heavy. Redundant if PropertyRadar API is active.,SUBSCRIPTION_WALL + JS_HEAVY,MEDIUM
Foreclosure.com – Fort Worth TX,Tarrant County TX,Foreclosure Platform,https://www.foreclosure.com,7,8,7,PLAYWRIGHT,Same platform as Harris and Dallas entries. Subscription required. JS-heavy. Redundant if PropertyRadar API is active.,SUBSCRIPTION_WALL + JS_HEAVY,MEDIUM
RealtyTrac – Harris County TX,Harris County TX,Foreclosure Platform,https://www.realtytrac.com,6,7,7,PLAYWRIGHT,Aggregates NOD and trustee-sale notices. Subscription required. JS-heavy. Lower priority given PropertyRadar superiority.,SUBSCRIPTION_WALL + JS_HEAVY,MEDIUM
PropertyRadar – Dallas County,Dallas County TX,Foreclosure Platform,https://www.propertyradar.com,9,9,9,API,Same platform as Harris County. Multi-county single subscription. API available. Best automation candidate for Dallas.,SUBSCRIPTION_WALL,HIGH
PropertyRadar – Tarrant County,Tarrant County TX,Foreclosure Platform,https://www.propertyradar.com,9,9,9,API,Same platform covering Tarrant County. Multi-county coverage on single subscription. Fort Worth and Arlington data.,SUBSCRIPTION_WALL,HIGH
HAR.com – Foreclosure Listings,Harris County TX,Public Notice Website,https://www.har.com,5,6,5,HTTP_GET,Houston Association of Realtors. MLS-adjacent. Limited trustee-sale specifics. Supplementary source only.,NO_DIRECT_FORECLOSURE_API,LOW
Dallas Morning News – Public Notices,Dallas County TX,Legal Newspaper,https://www.dallasnews.com,5,7,5,PLAYWRIGHT,State-required legal newspaper. Trustee notices published weekly. Cross-reference source. JS rendering likely.,JS_HEAVY,LOW
Fort Worth Star-Telegram – Public Notices,Tarrant County TX,Legal Newspaper,https://www.star-telegram.com,5,7,5,PLAYWRIGHT,State-required legal newspaper for Tarrant County. Cross-reference source. JS rendering likely.,JS_HEAVY,LOW
Dallas County Tax Office – Delinquent Tax Sales,Dallas County TX,Tax Sale Source,https://www.dallascountytax.com,6,7,6,HTTP_GET,Dallas County tax sale listings. Irregular schedule. Opening bids shown. Separate pipeline from deed-of-trust foreclosures.,NONE,MEDIUM
Tarrant County Tax Office – Tax Delinquent Sales,Tarrant County TX,Tax Sale Source,https://www.tarrantcounty.com,6,7,6,HTTP_GET,Tarrant County tax delinquent auctions. Irregular schedule. Opening bids reflect lien amounts.,NONE,MEDIUM
Shapiro Schwartz LLP / LOGS.org – Harris County,Harris County TX,Trustee Law Firm,https://logs.org,7,8,8,HTTP_GET + PDF_PARSE,LOGS.org platform covers Harris County. Same connector as Dallas/Tarrant LOGS entries. Multi-county automation.,NONE,HIGH
