builder_entity,active_zips_neighborhoods,permit_count,likely_product_type,confidence_score,in_target_zip,source_url_1,source_url_2,source_url_3,retrieval_timestamp,notes
Centre Living Homes,"West Dallas (Trinity Groves) | North Oak Cliff | The Cedars",PARTIAL — 13-unit townhome community (Kings Highway Oak Cliff) + 27-unit detached SFR (Emory Park West Dallas),Infill townhome + detached SFR infill,HIGH,YES,https://centrelivinghomes.com/new-homes/,https://oakcliff.advocatemag.com/2022/09/scandinavian-inspired-urban-homes-in-the-booming-west-dallas-market-of-trinity-groves/,,2026-05-15T18:50:27Z,Founded 2012. Dallas-based urban infill specialist. Active in Oak Cliff Historic Preservation District. DBA member.
StoryBuilt,"West Dallas (Fort Worth Ave / Guest St corridor) | North Oak Cliff (Bishop Arts) | Lake Highlands","~300 homes built DFW-wide; West Dallas project = 59-townhome 11-acre site; 10 communities in N. Texas pipeline",Infill townhome (for-sale and possible BTR mix),HIGH,YES,https://www.storybuilt.com/cities/dallas/,https://oakcliff.advocatemag.com/2021/12/the-park-at-west-main-storybuilt/,https://www.dfwurbanrealty.com/storybuilt-homes-dallas-fort-worth-tx.php,2026-05-15T18:50:27Z,Urban infill townhome specialist with Austin roots. West Dallas project fronts Fort Worth Ave between Trinity Groves and Chicken Scratch.
"Larkspur Capital LP / Argosy Real Estate Partners","The Cedars / 75215 (Botham Jean Blvd & Corinth St — DART Green Line)","155-unit BTR townhome (Victoria Row/The Corinth) + 219-unit multifamily (The Dahl at 3500 Ash Lane 75215)",BTR townhome + mixed-income multifamily,HIGH,YES — 75215,https://larkspurcapital.com/news/dmn-rental-community-will-break-new-ground-in-the-cedars-south-of-downtown-dallas,https://argosyrep.com/argosy-real-estate-partners-acquires-opportunity-zone-site-for-the-development-of-the-corinth-in-dallas-tx/,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2023017979,2026-05-15T18:50:27Z,Site is Qualified Opportunity Zone. Construction commenced Nov 2023. TDLR permit confirmed. Delivery Q3 2025 per TDLR.
OHT Partners LLC,"Near Fair Park / 75215 (1300 S. Ervay St — southeast of downtown)",299-unit luxury apartment (Ambassador Hotel adaptive reuse — ~2.5-acre site),Multifamily ground-up / adaptive reuse,HIGH,YES — 75215,https://www.ohtpartners.com/news-and-insights/redevelopment-of-historic-ambassador-hotel-site-in-dallas-begins/,https://www.multihousingnews.com/oht-partners-begins-construction-on-dallas-property/,,2026-05-15T18:50:27Z,Dallas-based developer. Historic brownfield/adaptive reuse in target ZIP. Not pure townhome infill but active large-scale project.
"Hoque Global (land entitler) + DR Horton + Lennar (lot buyers)","Southern Dallas near I-20 & Lancaster Rd — University Hills (adjacent 75241/75216 boundary near UNT Dallas)","270-acre site; ~580 SFR/townhome lots sold to DR Horton and Lennar; 1500 multifamily units planned; groundbreaking May 2025",SFR + townhome (production/entry-level) + multifamily,HIGH,YES — adjacent to target ZIPs,https://dallasinnovates.com/hoque-global-breaks-ground-on-1b-university-hills-project-in-southern-dallas/,https://www.wfaa.com/article/news/local/dallas-county/1-billion-project-breaks-ground-southern-dallas-just-before-city-incentive-deadline/287-d1fa9409-a827-4ef5-b609-cff638355d82,https://therealdeal.com/texas/dallas/2025/03/12/hoque-global-has-60-days-to-buy-southern-dallas-acreage/,2026-05-15T18:50:27Z,$1B total project. City approved ~$36M TIF. DR Horton and Lennar are boots-on-ground builders. First major production builder play in southern Dallas at scale.
419 Builders,North Oak Cliff (exclusively),UNKNOWN — boutique volume (low),Custom infill SFR + teardown/rebuild (modern design),MEDIUM,YES — Oak Cliff,http://419builders.com/,https://candysdirt.com/2020/03/30/dallas-builders-association-member-spotlight-419-builders/,https://dallasbuilders.com/home-of-the-week-419-builders/,2026-05-15T18:50:27Z,Founded ~2010 by Adrian Cole. DBA member. Full design/build site-specific modern homes on infill lots. High design / low volume — not a townhome volume builder.
Cobalt Homes (CoastOak Group affiliate),"East Dallas | Uptown-adjacent (Munger Ave 75204 area — NOT confirmed in South/West Dallas target ZIPs)","3 communities in Dallas area; Towns on Annex (13 units sold out); Drayton Court (East Dallas active)",Premium infill townhome (architect-designed gated communities),MEDIUM,NOT CONFIRMED in primary target ZIPs,https://cobaltdfw.com/,https://www.newhomesource.com/communities/tx/dallas-area/builder-cobalt-homes-45078,https://web.dallasbuilders.com/BUILDERS-RESIDENTIAL/Cobalt-Homes-6454,2026-05-15T18:50:27Z,Premium infill townhome builder. Operates in urban Dallas corridors but focus is East Dallas/Uptown-adjacent. Potential expansion prospect for target corridors.
Texas Heavenly Homes,South Dallas — The Bottom District (near 75215/75216),32-unit SFR affordable housing infill (part of broader 126-acre / 400-home plan); 85 homes per latest reporting,SFR affordable infill,MEDIUM,YES — South Dallas,https://candysdirt.com/2024/04/29/dallas-council-denies-heavenly-homes-proposal-for-infill-development-in-the-bottom-district/,https://www.dallascitynews.net/city-of-dallas-developers-community-partners-break-ground-on-bottom-district/,https://thebottomdistrict.com/,2026-05-15T18:50:27Z,Project exists and acquisition confirmed. City Council denied $3M federal grant April 2024 — builder had not fulfilled prior $500K obligations. Project status: in dispute as of April 2024.
NexMetro Communities (Avilla Homes),DFW-wide — suburban/exurban (Cleburne / Fort Worth area) — NOT confirmed in target urban ZIPs,"16 communities in DFW; 2750+ homes built in DFW since 2017; 16th DFW community opened 2025",BTR detached/attached SFR (luxury suburban),MEDIUM,NO — suburban/exurban only,https://yieldpro.com/2025/06/avilla/,https://www.bisnow.com/dallas-ft-worth/news/build-to-rent/dfw-btr-recovery-134393,,2026-05-15T18:50:27Z,Major national BTR developer with largest DFW footprint among BTR specialists. All known communities are suburban/exurban. Not active in target urban infill ZIPs.
Republic Property Group (Record Street Residential),DFW suburbs — confirmed active near Celina/Light Farms — South Dallas infill NOT confirmed,"600+ units under construction DFW-wide; 199-unit BTR community near Celina",BTR SFR suburban,MEDIUM,NO — suburban only,https://republicpropertygroup.com/republic-property-group-has-over-600-build-for-rent-units-in-development/,https://republicpropertygroup.com/dallas-fort-worth-leads-nation-in-build-to-rent-home-construction/,,2026-05-15T18:50:27Z,Dallas-based BTR developer. No confirmed infill urban corridor activity in target ZIPs.
