Address,Price,Size (Acres),Details,Contact Information
"1234 Jeff St, Dallas, TX 75208",$45000,0.15,"Cleared corner lot. All utilities available at street. Adjacent to recently sold infill build. Bishop Arts corridor. Builder-ready.","John Smith, Broker | (214) 555-0101 | jsmith@dallasbrokerage.com"
"1236 Jeff St, Dallas, TX 75208",$42000,0.14,"Adjacent cleared lot next to 1234. Utilities on site. Fenced. Motivated seller. Great infill build opportunity.","John Smith, Broker | (214) 555-0101 | jsmith@dallasbrokerage.com"
"1240 Jeff St, Dallas, TX 75208",$48000,0.16,"Cleared infill lot. Adjacent lots available on Jeff St. Bishop Arts district. Utilities at street. Builder assignment preferred.","Maria Torres, Realtor | (214) 555-0202 | mtorres@txrealty.com"
"1244 Jeff St, Dallas, TX 75208",$39000,0.13,"Probate sale. Cleared lot with utilities available. Corner lot at Jeff and alley. Bishop Arts.","Maria Torres, Realtor | (214) 555-0202 | mtorres@txrealty.com"
"1250 Jeff St, Dallas, TX 75208",$52000,0.18,"Large cleared lot. Utilities at street. Ideal for builder assignment or infill build. Bishop Arts corridor. Adjacent lots on Jeff St available.","Carlos Reyes, Agent | (214) 555-0303 | creyes@oakcliffrealty.com"
"1256 Jeff St, Dallas, TX 75208",$44000,0.15,"Cleared lot. Fenced. Corner of Jeff and cross street. Utilities available. 4 adjacent lots on same block.","Carlos Reyes, Agent | (214) 555-0303 | creyes@oakcliffrealty.com"
"516 N Bishop Ave, Dallas, TX 75208",$65000,0.22,"Bishop Arts District corner lot. Adjacent parcels available for assemblage. Cleared with all utilities.","John Smith, Broker | (214) 555-0101 | jsmith@dallasbrokerage.com"
"520 N Bishop Ave, Dallas, TX 75208",$61000,0.20,"Adjacent to 516 N Bishop. Cleared. Utilities available. Builder corridor in Bishop Arts. Land flip or assign.","John Smith, Broker | (214) 555-0101 | jsmith@dallasbrokerage.com"
"420 W 12th St, Dallas, TX 75208",$38000,0.12,"Trinity Groves adjacent. Cleared lot. Fenced. Probate sale. Motivated estate seller.","Sarah Kim, Broker | (214) 555-0404 | skim@dallaslandco.com"
"422 W 12th St, Dallas, TX 75208",$36000,0.11,"Adjacent to 420 W 12th. Cleared. Utilities available. Corner of alley. Land flip candidate.","Sarah Kim, Broker | (214) 555-0404 | skim@dallaslandco.com"
"2215 Singleton Blvd, Dallas, TX 75212",$78000,0.28,"Trinity Groves corridor. Large cleared lot. Adjacent lots potentially available. All utilities. Builder-ready.","Carlos Reyes, Agent | (214) 555-0303 | creyes@oakcliffrealty.com"
"2219 Singleton Blvd, Dallas, TX 75212",$72000,0.26,"Adjacent to 2215 Singleton Blvd. Cleared. Utilities. Fenced. Builder corridor. Land flip or assign.","Carlos Reyes, Agent | (214) 555-0303 | creyes@oakcliffrealty.com"
"1100 N Zang Blvd, Dallas, TX 75208",$55000,0.19,"Bishop Arts adjacent. Cleared lot. Corner. Utilities at street. Infill build or builder assignment.","Maria Torres, Realtor | (214) 555-0202 | mtorres@txrealty.com"
"802 Canty St, Dallas, TX 75203",$29000,0.10,"Cleared lot. Utilities available. Estate/probate. Fenced. Good infill candidate.","David Park, Agent | (214) 555-0505 | dpark@southdallasrealty.com"
"806 Canty St, Dallas, TX 75203",$27000,0.09,"Adjacent to 802 Canty. Cleared. Utilities on site. Same estate seller.","David Park, Agent | (214) 555-0505 | dpark@southdallasrealty.com"
